Name	SideEffectName	MinFrequency	MaxFrequency	MeanFrequency
1,25(OH)2D3	Discomfort	0.02	0.03	0.025
1,25(OH)2D3	Hypercalciuria	0.03	0.03	0.03
1,25(OH)2D3	Laboratory test abnormal	0.08	0.08	0.08
1,25(OH)2D3	Pruritus	0.01	0.03	0.02
1,25(OH)2D3	Psoriasis	0.04	0.04	0.04
1,25(OH)2D3	Urine abnormality	0.04	0.04	0.04
1,25(OH)2D3	Urine analysis abnormal	0.04	0.04	0.04
17-hydroxyprogesterone	Diarrhoea	0.007	0.023	0.015
17-hydroxyprogesterone	Gestational diabetes	0.046	0.056	0.051000000000000004
17-hydroxyprogesterone	Gestational hypertension	0.046	0.088	0.067
17-hydroxyprogesterone	Injection site nodule	0.02	0.045	0.0325
17-hydroxyprogesterone	Injection site pain	0.327	0.348	0.3375
17-hydroxyprogesterone	Injection site pruritus	0.033	0.058	0.0455
17-hydroxyprogesterone	Injection site swelling	0.078	0.171	0.1245
17-hydroxyprogesterone	Nausea	0.046	0.058	0.052000000000000005
17-hydroxyprogesterone	Oligohydramnios	0.013	0.036	0.024499999999999997
17-hydroxyprogesterone	Pre-eclampsia	0.046	0.088	0.067
17-hydroxyprogesterone	Premature labour	0.138	0.16	0.14900000000000002
17-hydroxyprogesterone	Pruritus	0.059	0.077	0.068
17-hydroxyprogesterone	Urticaria	0.111	0.123	0.11699999999999999
18F-flutemetamol	Blood pressure increased	0.01	0.01	0.01
18F-flutemetamol	Dizziness	0.01	0.01	0.01
18F-flutemetamol	Flushing	0.02	0.02	0.02
18F-flutemetamol	Headache	0.01	0.01	0.01
18F-flutemetamol	Nausea	0.01	0.01	0.01
2-hydroxysuccinaldehyde	Arthralgia	0.1	0.162	0.128
2-hydroxysuccinaldehyde	Artificial kidney clotting during dialysis	0.081	0.081	0.081
2-hydroxysuccinaldehyde	Body temperature increased	0.101	0.42	0.2605
2-hydroxysuccinaldehyde	Bone pain	0.07	0.07	0.07
2-hydroxysuccinaldehyde	Chills	0.0	0.07	0.030000000000000002
2-hydroxysuccinaldehyde	Cough	0.04	0.26	0.10999999999999999
2-hydroxysuccinaldehyde	Deep vein thrombosis	0.0	0.06	0.03
2-hydroxysuccinaldehyde	Depression	0.05	0.05	0.05
2-hydroxysuccinaldehyde	Dermatitis	0.02	0.19	0.0775
2-hydroxysuccinaldehyde	Device malfunction	0.081	0.081	0.081
2-hydroxysuccinaldehyde	Dizziness	0.095	0.095	0.095
2-hydroxysuccinaldehyde	Dysphagia	0.05	0.05	0.05
2-hydroxysuccinaldehyde	Headache	0.05	0.18	0.11400000000000002
2-hydroxysuccinaldehyde	Hyperglycaemia	0.06	0.06	0.06
2-hydroxysuccinaldehyde	Hypertension	0.03	0.277	0.11080000000000001
2-hydroxysuccinaldehyde	Hypokalaemia	0.05	0.05	0.05
2-hydroxysuccinaldehyde	Injection site irritation	0.07	0.07	0.07
2-hydroxysuccinaldehyde	Injection site pain	0.09	0.13	0.11249999999999999
2-hydroxysuccinaldehyde	Insomnia	0.06	0.06	0.06
2-hydroxysuccinaldehyde	Leukopenia	0.08	0.08	0.08
2-hydroxysuccinaldehyde	Muscle spasms	0.074	0.074	0.074
2-hydroxysuccinaldehyde	Musculoskeletal discomfort	0.1	0.162	0.128
2-hydroxysuccinaldehyde	Myalgia	0.1	0.1	0.1
2-hydroxysuccinaldehyde	Nausea	0.35	0.56	0.45199999999999996
2-hydroxysuccinaldehyde	Oedema	0.01	0.03	0.02
2-hydroxysuccinaldehyde	Pruritus	0.12	0.21	0.16333333333333333
2-hydroxysuccinaldehyde	Pulmonary embolism	0.01	0.01	0.01
2-hydroxysuccinaldehyde	Rash	0.02	0.19	0.0775
2-hydroxysuccinaldehyde	Respiratory tract congestion	0.01	0.01	0.01
2-hydroxysuccinaldehyde	Stomatitis	0.1	0.1	0.1
2-hydroxysuccinaldehyde	Thrombosis	0.05	0.081	0.0655
2-hydroxysuccinaldehyde	Thrombosis in device	0.081	0.081	0.081
2-hydroxysuccinaldehyde	Upper respiratory tract infection	0.068	0.068	0.068
2-hydroxysuccinaldehyde	Urticaria	0.03	0.03	0.03
2-hydroxysuccinaldehyde	Vascular occlusion	0.081	0.081	0.081
2-hydroxysuccinaldehyde	Vomiting	0.12	0.28	0.2
2-hydroxysuccinaldehyde	Weight decreased	0.09	0.09	0.09
4-AP	Asthenia	0.07	0.07	0.07
4-AP	Back pain	0.05	0.05	0.05
4-AP	Balance disorder	0.05	0.05	0.05
4-AP	Constipation	0.03	0.03	0.03
4-AP	Dizziness	0.07	0.07	0.07
4-AP	Dyspepsia	0.02	0.02	0.02
4-AP	Headache	0.07	0.07	0.07
4-AP	Insomnia	0.09	0.09	0.09
